Laptop_Brand,CPU_Brand,CPU_Sub_Series,RAM,Screen_Size,Resolution,Panel_Type,Touchscreen,GPU_Brand,SSD,HDD,Weight,Price
Acer,Intel,Core_i5,20,17.3,1600 x 900,TN,0,Intel,512,1000,2.7,819.99
Acer,Intel,Core_i5,20,17.3,1600 x 900,TN,0,Intel,128,1000,2.7,629.99
Acer,Intel,Core_i5,20,17.3,1600 x 900,TN,0,Intel,256,1000,2.7,879.0
Acer,Intel,Core_i5,20,17.3,1600 x 900,TN,0,Intel,512,1000,2.7,799.0
Acer,Intel,Core_i5,20,17.3,1600 x 900,TN,0,Intel,1000,0,2.7,779.99
Acer,Intel,Core_i5,20,17.3,1600 x 900,TN,0,Intel,2000,0,2.7,999.0
Acer,Intel,Core_i5,20,17.3,1920 x 1080,IPS,0,Intel,512,0,2.7,869.0
Acer,Intel,Core_i5,20,17.3,1920 x 1080,IPS,0,Intel,512,1000,2.7,939.0
Acer,Intel,Core_i5,20,17.3,1920 x 1080,IPS,0,Intel,1000,0,2.7,929.0
Acer,Intel,Core_i5,20,17.3,1920 x 1080,IPS,0,Intel,1000,1000,2.7,1049.0
Acer,Intel,Core_i5,20,17.3,1920 x 1080,IPS,0,Intel,2000,0,2.7,1049.0
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,Intel,1000,0,1.8,979.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,TN,0,Intel,1000,0,1.8,949.99
Acer,Intel,Core_i5,32,17.3,1600 x 900,TN,0,Intel,1000,0,2.7,949.0
Acer,Intel,Core_i5,36,17.3,1600 x 900,TN,0,Intel,2000,0,2.7,1129.0
Acer,Intel,Core_i5,40,17.3,1600 x 900,TN,0,Intel,2000,0,2.7,1139.0
Acer,Intel,Core_i5,40,17.3,1920 x 1080,IPS,0,Intel,2000,0,2.7,1129.0
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,0,Intel,512,0,1.18,659.0
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,256,0,1.2,759.9
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,1,Intel,512,0,1.5,655.0
Acer,Intel,Core_i5,16,13.5,2256 x 1504,IPS,1,Intel,512,0,1.2,779.0
Acer,Intel,Core_i5,8,13.3,2560 x 1600,IPS,1,Intel,512,0,1.5,799.99
Acer,Intel,Core_i5,8,13.5,2256 x 1504,IPS,1,Intel,256,0,1.45,789.99
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,0,Intel,512,0,1.2,662.93
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,0,Intel,512,0,1.25,1249.99
